,location,signal
1,0,NA
2,1,NA
3,2,NA
4,3,NA
5,4,NA
6,5,NA
7,6,NA
8,7,NA
9,8,NA
10,9,NA
11,10,NA
12,11,NA
13,12,NA
14,13,NA
15,14,NA
16,15,NA
17,16,NA
18,17,NA
19,18,NA
20,19,NA
21,20,NA
22,21,NA
23,22,NA
24,23,NA
25,24,NA
26,25,NA
27,26,NA
28,27,NA
29,28,NA
30,29,NA
31,30,NA
32,31,NA
33,32,NA
34,33,NA
35,34,NA
36,35,NA
37,36,NA
38,37,NA
39,38,NA
40,39,NA
41,40,NA
42,41,NA
43,42,NA
44,43,NA
45,44,NA
46,45,NA
47,46,NA
48,47,NA
49,48,NA
50,49,NA
51,50,NA
52,51,NA
53,52,NA
54,53,NA
55,54,NA
56,55,NA
57,56,NA
58,57,NA
59,58,NA
60,59,NA
61,60,NA
62,61,NA
63,62,NA
64,63,NA
65,64,NA
66,65,NA
67,66,NA
68,67,NA
69,68,NA
70,69,NA
71,70,NA
72,71,NA
73,72,NA
74,73,NA
75,74,NA
76,75,NA
77,76,NA
78,77,NA
79,78,NA
80,79,NA
81,80,NA
82,81,NA
83,82,NA
84,83,NA
85,84,NA
86,85,NA
87,86,NA
88,87,NA
89,88,NA
90,89,NA
91,90,NA
92,91,NA
93,92,NA
94,93,NA
95,94,NA
96,95,NA
97,96,NA
98,97,NA
99,98,NA
100,99,NA
101,100,NA
102,101,NA
103,102,NA
104,103,NA
105,104,NA
106,105,NA
107,106,NA
108,107,NA
109,108,NA
110,109,NA
111,110,NA
112,111,NA
113,112,NA
114,113,NA
115,114,NA
116,115,NA
117,116,NA
118,117,NA
119,118,NA
120,119,NA
121,120,NA
122,121,NA
123,122,NA
124,123,NA
125,124,NA
126,125,NA
127,126,NA
128,127,NA
129,128,NA
130,129,NA
131,130,NA
132,131,NA
133,132,NA
134,133,NA
135,134,NA
136,135,NA
137,136,NA
138,137,NA
139,138,NA
140,139,NA
141,140,NA
142,141,NA
143,142,NA
144,143,NA
145,144,NA
146,145,NA
147,146,NA
148,147,NA
149,148,NA
150,149,NA
151,150,NA
152,151,NA
153,152,NA
154,153,NA
155,154,NA
156,155,NA
157,156,NA
